Question,Answer1,T11,T21,T31,T41,T51,neural_ans1_prob,Answer2,T12,T22,T32,T42,T52,neural_ans2_prob,Answer3,T13,T23,T33,T43,T53,neural_ans3_prob,bing_return
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok,yes,yes,yes,yes,yes,1.0,Bangkok,yes,yes,yes,yes,yes,1.0,bloodshot,yes,yes,yes,yes,yes,0.0,True
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull,yes,yes,yes,yes,yes,1.0,-$100$,yes,yes,yes,yes,yes,1.0,bottlenose,yes,yes,yes,yes,yes,0.0,False
Black ribbon streamers on a family's front door were once a sign of this,mourning,yes,yes,yes,yes,yes,1.0,- Mourning,yes,yes,yes,yes,yes,1.0,Thanksgiving Day,yes,yes,yes,yes,yes,0.0,True
Washington's state fish is the steelhead species of this,trout,yes,yes,yes,yes,yes,1.0,- 3,yes,yes,yes,yes,yes,1.0,$500 million,yes,yes,yes,yes,yes,0.0,False
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",bread,yes,yes,yes,yes,yes,1.0,Sure thing! Here's your answer:,yes,yes,yes,yes,yes,1.0,Cardigan Bay,yes,yes,yes,yes,yes,0.0,False
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",a wand,yes,yes,yes,yes,yes,1.0,Sure thing! Here is the answer to the Jeopardy question:,yes,yes,yes,yes,yes,1.0,"Ontario, California",no,no,no,no,no,1.0,False
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter the Great,yes,yes,yes,yes,yes,1.0,Answer: Peter,yes,yes,yes,yes,yes,1.0,S-T-A-P-H-Y-L-O-C-O-C-C-I,yes,yes,yes,yes,yes,0.0,False
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis,yes,yes,yes,yes,yes,1.0,Syphilis,yes,yes,yes,yes,yes,1.0,Philadelphia Flyers,no,no,no,no,no,1.0,True
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,coffee,no,no,no,no,no,0.0,,no,no,no,no,no,0.0,Ostriches,no,no,no,no,no,1.0,False
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",Button Gwinnett,yes,yes,yes,yes,yes,1.0,- $800,yes,yes,yes,yes,yes,1.0,a book,yes,yes,yes,yes,yes,0.0,False
"A top-grossing animated film of 1961, a live-action remake was released in 1996",101 Dalmatians,yes,yes,yes,yes,yes,1.0,Sure thing! Here is the answer to the Jeopardy question:,yes,yes,yes,yes,yes,1.0,Kanye West,no,no,no,no,no,1.0,False
"Formerly dementia praecox, this term does not mean a patient has more than one personality",schizophrenia,yes,yes,yes,yes,yes,1.0,Answer: Schizophrenia,yes,yes,yes,yes,yes,1.0,Race or color,no,no,no,no,no,1.0,False
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",the Rose Parade,yes,yes,yes,yes,yes,1.0,-$100$,yes,yes,yes,yes,yes,1.0,Phillips Screwdriver,yes,yes,yes,yes,yes,0.0,False
Rhett Butler,Margaret Mitchell,no,no,no,no,no,0.0,Rhett Butler,yes,yes,yes,yes,yes,1.0,Maastricht Treaty,no,no,no,no,no,1.0,False
"I'm confused, perplexed, absolutely this",baffled,no,no,no,no,no,0.0,Sure thing! The answer to your Jeopardy question is: Puzzled,no,no,no,no,no,0.0,pantry and paltry,no,no,no,no,no,1.0,False
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,white,yes,yes,yes,yes,yes,1.0,- 50,yes,yes,yes,yes,yes,1.0,Maastricht Treaty,yes,yes,yes,yes,yes,0.0,False
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",Joe Biden,yes,yes,yes,yes,yes,1.0,-800,no,no,no,no,no,0.0,Sandy Duncan,no,no,no,no,no,1.0,False
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Nazareth,yes,yes,yes,yes,yes,1.0,Answer: Nazareth,yes,yes,yes,yes,yes,1.0,"Summer Wishes, Winter Dreams",yes,yes,yes,yes,yes,0.0,False
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,McDonald's,yes,yes,yes,yes,yes,1.0,Sure thing! Here's the answer to the Jeopardy question:,yes,yes,yes,yes,yes,1.0,Kanye West,no,no,no,no,no,1.0,False
Hi-yo ___ wedding anniversary,Silver,yes,yes,yes,yes,yes,1.0,Sure thing! The answer to the Jeopardy question is:,no,no,no,no,no,0.0,Georges Feydeau,no,no,no,no,no,1.0,False
Woody Allen won 2 Oscars for this 1977 film,Annie Hall,yes,yes,yes,yes,yes,1.0,Woody,no,no,no,no,no,0.0,Eugene V. Debs,no,no,no,no,no,1.0,False
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",Muqtada al-Sadr,yes,yes,yes,yes,yes,1.0,ANSWER - Moqtada al-Sadr,yes,yes,yes,yes,yes,1.0,a book,yes,yes,yes,yes,yes,0.0,False
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,(Joe) Lieberman,yes,yes,yes,yes,yes,1.0,Answer: Blumenthal,yes,yes,yes,yes,yes,1.0,Maud Gonne,no,no,no,no,no,1.0,False
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa",Cecil Rhodes,yes,yes,yes,yes,yes,1.0,Answer: KITCHEN,yes,yes,yes,yes,yes,1.0,"Ontario, California",no,no,no,no,no,1.0,False
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",Navel,yes,yes,yes,yes,yes,1.0,ANSWER: Belly button,yes,yes,yes,yes,yes,1.0,Eugene V. Debs,no,no,no,no,no,1.0,False
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Jackie Robinson,yes,yes,yes,yes,yes,1.0,Answer: ROCKY,yes,yes,yes,yes,yes,1.0,"""Heart Of Darkness""",no,no,no,no,no,1.0,False
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",Robert Burns,yes,yes,yes,yes,yes,1.0,Scotland,yes,yes,yes,yes,yes,1.0,John Gilbert (Greta Garbo's lover),no,no,no,no,no,1.0,False
Lee Majors' role from 1981 to 1986,The Fall Guy,yes,yes,yes,yes,yes,1.0,$800 $Answer: Col. Steve Austin,yes,yes,yes,yes,yes,1.0,John Gilbert (Greta Garbo's lover),no,no,no,no,no,1.0,False
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",Teddy Roosevelt,yes,yes,yes,yes,yes,1.0,- 100,yes,yes,yes,yes,yes,1.0,deadheading,yes,yes,yes,yes,yes,0.0,False
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,the Titans,yes,yes,yes,yes,yes,1.0,Answer: Titans,yes,yes,yes,yes,yes,1.0,tear/tier,yes,yes,yes,yes,yes,0.0,False
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",Cantor,yes,yes,yes,yes,yes,1.0,-500,no,no,no,no,no,0.0,Sir William Herschel,no,no,no,no,no,1.0,False
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",the Second World,yes,yes,yes,yes,yes,1.0,- 15,yes,yes,yes,yes,yes,1.0,Maud Gonne,no,no,no,no,no,1.0,False
California vegetable with a crown & a heart,an artichoke,yes,yes,yes,yes,yes,1.0,-$100,yes,yes,yes,yes,yes,1.0,Hotel,yes,yes,yes,yes,yes,0.0,False
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",DNA,yes,yes,yes,yes,yes,1.0,Certainly! The answer to the Jeopardy question is:,yes,yes,yes,yes,yes,1.0,Saint Matilda,yes,yes,yes,yes,yes,0.0,False
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""","Salem, Massachusetts",yes,yes,yes,yes,yes,1.0,Salem,yes,yes,yes,yes,yes,1.0,St. Patrick's,yes,yes,yes,yes,yes,0.0,True
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,The Last King of Scotland,yes,yes,yes,yes,yes,1.0,$400,no,no,no,no,no,0.0,Scum,no,no,no,no,no,1.0,False
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""","""Nine Months""",yes,yes,yes,yes,yes,1.0,Four Wedding,no,no,no,no,no,0.0,Superboy,no,no,no,no,no,1.0,False
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:","""Michelle""",yes,yes,yes,yes,yes,1.0,Song,yes,yes,yes,yes,yes,1.0,Eugene V. Debs,yes,yes,yes,yes,yes,0.0,False
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,Sweden,yes,yes,yes,yes,yes,1.0,Sweden,yes,yes,yes,yes,yes,1.0,London & Paris,yes,yes,yes,yes,yes,0.0,True
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,flags,yes,yes,yes,yes,yes,1.0,Answer: Flags,yes,yes,yes,yes,yes,1.0,Satellites,yes,yes,yes,yes,yes,0.0,False
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,Stephen F. Austin,no,no,no,no,no,0.0,- 40,no,no,no,no,no,0.0,Sir William Herschel,no,no,no,no,no,1.0,False
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",a greenhouse,yes,yes,yes,yes,yes,1.0,Effect,yes,yes,yes,yes,yes,1.0,fear itself,yes,yes,yes,yes,yes,0.0,False
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",McKinley,yes,yes,yes,yes,yes,1.0,-$100$,yes,yes,yes,yes,yes,1.0,a poor boy,yes,yes,yes,yes,yes,0.0,False
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,Medea,yes,yes,yes,yes,yes,1.0,-500,no,no,no,no,no,0.0,a book,no,no,no,no,no,1.0,False
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,ABBA,yes,yes,yes,yes,yes,1.0,Abba,yes,yes,yes,yes,yes,1.0,Cardigan Bay,yes,yes,yes,yes,yes,0.0,True
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,Congressional Medal of Honor,no,no,no,no,no,0.0,-3,no,no,no,no,no,0.0,Judgment at Nuremberg,no,no,no,no,no,1.0,False
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",Brown v. Board of Education,yes,yes,yes,yes,yes,1.0,Answer: Brown,yes,yes,yes,yes,yes,1.0,1848,yes,yes,yes,yes,yes,0.0,False
"""Shutter Island"" & ""Revolutionary Road""",Leonardo DiCaprio,yes,yes,yes,yes,yes,1.0,Sure thing! Here's your answer:,yes,yes,yes,yes,yes,1.0,Nashville Star,yes,yes,yes,yes,yes,0.0,False
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan,yes,yes,yes,yes,yes,1.0,- Taiwan,yes,yes,yes,yes,yes,1.0,dodgeball,no,no,no,no,no,1.0,True
"Change one letter in lord & make this verb meaning ""to pack up""",load,yes,yes,yes,yes,yes,1.0,Lord,yes,yes,yes,yes,yes,1.0,"""Heart Of Darkness""",yes,yes,yes,yes,yes,0.0,False
This provincial capital on Vancouver Island is famous for its Butchart Gardens,Victoria,yes,yes,yes,yes,yes,1.0,- Victoria,yes,yes,yes,yes,yes,1.0,theorem,yes,yes,yes,yes,yes,0.0,True
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",Dante Aligheri,no,no,no,no,no,0.0,- 1452,no,no,no,no,no,0.0,Daniel Boone,no,no,no,no,no,1.0,False
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",fisherman,yes,yes,yes,yes,yes,1.0,£50,yes,yes,yes,yes,yes,1.0,past,yes,yes,yes,yes,yes,0.0,False
"A small fipple flute that, by its name, sounds like it only costs one cent",a pennywhistle,yes,yes,yes,yes,yes,1.0,- Pennywhistle,yes,yes,yes,yes,yes,1.0,Superboy,yes,yes,yes,yes,yes,0.0,True
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",Ellis Island,yes,yes,yes,yes,yes,1.0,- Ellis,yes,yes,yes,yes,yes,1.0,Maud Gonne,no,no,no,no,no,1.0,True
"Pilot somewhere over the Atlantic, May 20, 1927",Lindbergh,yes,yes,yes,yes,yes,1.0,- 20,yes,yes,yes,yes,yes,1.0,Indo-European,yes,yes,yes,yes,yes,0.0,False
The 2 you'd find naturally in Siberia,Bears & tigers,yes,yes,yes,yes,yes,1.0,Siberia,yes,yes,yes,yes,yes,1.0,Thanksgiving Day,no,no,no,no,no,1.0,False
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,(Usain) Bolt,yes,yes,yes,yes,yes,1.0,-800,no,no,no,no,no,0.0,Anakin Skywalker,no,no,no,no,no,1.0,False
What a catcher might eat his dinner on,Home plate,no,no,no,no,no,0.0,-50,no,no,no,no,no,0.0,Indo-European,no,no,no,no,no,1.0,False
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?",Royal Air Force,yes,yes,yes,yes,yes,1.0,Answer: AIR FORCE,yes,yes,yes,yes,yes,1.0,Cardigan Bay,yes,yes,yes,yes,yes,0.0,False
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,Timbuktu,yes,yes,yes,yes,yes,1.0,- 400,yes,yes,yes,yes,yes,1.0,fear itself,yes,yes,yes,yes,yes,0.0,False
282 feet below sea level in Death Valley,California,yes,yes,yes,yes,yes,1.0,-282,yes,yes,yes,yes,yes,1.0,dodgeball,yes,yes,yes,yes,yes,0.0,False
"A sudden, violent windstorm",a squall,yes,yes,yes,yes,yes,1.0,Tornado,yes,yes,yes,yes,yes,1.0,The Sorbonne,no,no,no,no,no,1.0,False
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana",Carole Lombard,yes,yes,yes,yes,yes,1.0,Answer: $64,yes,yes,yes,yes,yes,1.0,St. Patrick's,no,no,no,no,no,1.0,False
"He gave us the classic tale of Cossack life ""Taras Bulba""",Nikolai Gogol,no,no,no,no,no,0.0,Gogol,no,no,no,no,no,0.0,(Charles) Lindbergh,no,no,no,no,no,1.0,True
This racket sport is named for the Duke of Beaufort's country seat,badminton,yes,yes,yes,yes,yes,1.0,TENNIS,yes,yes,yes,yes,yes,1.0,Whale,yes,yes,yes,yes,yes,0.0,False
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",Pizza,yes,yes,yes,yes,yes,1.0,Answer: Pizza,yes,yes,yes,yes,yes,1.0,Cardigan Bay,yes,yes,yes,yes,yes,0.0,False
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Swirl,yes,yes,yes,yes,yes,1.0,Syrup,yes,yes,yes,yes,yes,1.0,George Mitchell,yes,yes,yes,yes,yes,0.0,False
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",Jack the Ripper,yes,yes,yes,yes,yes,1.0,Sure thing! Here is the answer to the Jeopardy question:,yes,yes,yes,yes,yes,1.0,Thanksgiving Day,yes,yes,yes,yes,yes,0.0,False
An author's last Italian holiday is the subject of this Thomas Mann novella,Death In Venice,yes,yes,yes,yes,yes,1.0,- 21,no,no,no,no,no,0.0,(Dolly) Parton,no,no,no,no,no,1.0,False
The Battle of Bosworth,the Wars of the Roses,no,no,no,no,no,0.0,- 1485,no,no,no,no,no,0.0,Sandy Duncan,no,no,no,no,no,1.0,False
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",Barnaby Jones,yes,yes,yes,yes,yes,1.0,Buddy Ebsen,yes,yes,yes,yes,yes,1.0,a pop-up,yes,yes,yes,yes,yes,0.0,False
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",Colonel Blimp,yes,yes,yes,yes,yes,1.0,- 20,yes,yes,yes,yes,yes,1.0,Patina,yes,yes,yes,yes,yes,0.0,False
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum",The Louvre,yes,yes,yes,yes,yes,1.0,Louvre,yes,yes,yes,yes,yes,1.0,a Good Humor bar,no,no,no,no,no,1.0,True
"1989: This CEO ""& Me""",Roger,no,no,no,no,no,0.0,Gates,yes,yes,yes,yes,yes,1.0,"Olympia, Washington",yes,yes,yes,yes,yes,0.0,False
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",gold,yes,yes,yes,yes,yes,1.0,GOLD,yes,yes,yes,yes,yes,1.0,pantry and paltry,yes,yes,yes,yes,yes,0.0,True
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",Jane Byrne,yes,yes,yes,yes,yes,1.0,- 82,yes,yes,yes,yes,yes,1.0,Goshin,yes,yes,yes,yes,yes,0.0,False
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",the Aztecs,yes,yes,yes,yes,yes,1.0,$800 $Answer = Aztec,yes,yes,yes,yes,yes,1.0,Indo-European,yes,yes,yes,yes,yes,0.0,False
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",Dragon,yes,yes,yes,yes,yes,1.0,Sauron,no,no,no,no,no,0.0,The Remains of the Day,no,no,no,no,no,1.0,False
"Related to the boa constrictor, this largest South American snake is also called the water boa",Anaconda,yes,yes,yes,yes,yes,1.0,- 3000. Anaconda,yes,yes,yes,yes,yes,1.0,fear itself,no,no,no,no,no,1.0,False
America's first public high school was opened in 1821 in this New England capital,Boston,yes,yes,yes,yes,yes,1.0,- 16,yes,yes,yes,yes,yes,1.0,past,yes,yes,yes,yes,yes,0.0,False
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",Minnesota,no,no,no,no,no,0.0,-200,yes,yes,yes,yes,yes,1.0,robbing the cradle,no,no,no,no,no,1.0,False
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,trolls,yes,yes,yes,yes,yes,1.0,Trolls,yes,yes,yes,yes,yes,1.0,deadheading,yes,yes,yes,yes,yes,0.0,True
Casey Kasem was known for presenting long-distance ones,dedication,no,no,no,no,no,0.0,,no,no,no,no,no,0.0,Jenny,no,no,no,no,no,1.0,False
Relating to the heart & blood vessels: CV,cardiovascular,yes,yes,yes,yes,yes,1.0,Sure thing! Here is the answer to the Jeopardy question in the requested format:,no,no,no,no,no,0.0,the Village Vanguard,yes,yes,yes,yes,yes,0.0,False
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",Pluto,yes,yes,yes,yes,yes,1.0,Pluto,yes,yes,yes,yes,yes,1.0,Rick Barry,no,no,no,no,no,1.0,True
"This ""diminutive"" companion of Robin Hood was a skillful archer too",Little John,yes,yes,yes,yes,yes,1.0,- 2,yes,yes,yes,yes,yes,1.0,The National Archives,yes,yes,yes,yes,yes,0.0,False
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,The Love Boat,yes,yes,yes,yes,yes,1.0,- 25,yes,yes,yes,yes,yes,1.0,Thanksgiving Day,yes,yes,yes,yes,yes,0.0,False
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",Snow White and the Seven Dwarfs,yes,yes,yes,yes,yes,1.0,Snow White,yes,yes,yes,yes,yes,1.0,John Gilbert (Greta Garbo's lover),no,no,no,no,no,1.0,True
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,Soviet Union,yes,yes,yes,yes,yes,1.0,Answer: 6,yes,yes,yes,yes,yes,1.0,(Charles) Lindbergh,no,no,no,no,no,1.0,False
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",Jean-Jacques Rousseau,yes,yes,yes,yes,yes,1.0,-100,no,no,no,no,no,0.0,Superboy,no,no,no,no,no,1.0,False
Nixon might have found one of these detachable shirt fronts tricky to wear,Dickie,yes,yes,yes,yes,yes,1.0,- 30,yes,yes,yes,yes,yes,1.0,Cardigan Bay,yes,yes,yes,yes,yes,0.0,False
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",Brain,yes,yes,yes,yes,yes,1.0,£3,yes,yes,yes,yes,yes,1.0,"Ontario, California",yes,yes,yes,yes,yes,0.0,False
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",the second,yes,yes,yes,yes,yes,1.0,Answer: Second,yes,yes,yes,yes,yes,1.0,Georges Feydeau,no,no,no,no,no,1.0,False
An underground container for sewage,cesspool,yes,yes,yes,yes,yes,1.0,Sewage,yes,yes,yes,yes,yes,1.0,Phillips Screwdriver,no,no,no,no,no,1.0,False
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",Georges Clemenceau,yes,yes,yes,yes,yes,1.0,,yes,yes,yes,yes,yes,1.0,90 degrees south,no,no,no,no,no,1.0,False
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",Assassins,yes,yes,yes,yes,yes,1.0,Sure thing! Here is the answer to the Jeopardy question:,yes,yes,yes,yes,yes,1.0,Judgment at Nuremberg,no,no,no,no,no,1.0,False
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",Bill Blass,yes,yes,yes,yes,yes,1.0,- 100,yes,yes,yes,yes,yes,1.0,The Sorbonne,yes,yes,yes,yes,yes,0.0,False
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,Lincoln,yes,yes,yes,yes,yes,1.0,- 30,no,no,no,no,no,0.0,Nashville Star,no,no,no,no,no,1.0,False
South America: President Alvaro Uribe,Colombia,yes,yes,yes,yes,yes,1.0,- 500,no,no,no,no,no,0.0,Lady Macduff,no,no,no,no,no,1.0,False
This ancient dramatist is known for his innovative use of a second actor in his plays,Aeschylus,yes,yes,yes,yes,yes,1.0,Sure thing! Here's the answer to the Jeopardy question:,yes,yes,yes,yes,yes,1.0,The National Archives,no,no,no,no,no,1.0,False
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,E-L-I-G-I-B-L-E,yes,yes,yes,yes,yes,1.0,Sure thing! Here is the answer to the Jeopardy question:,yes,yes,yes,yes,yes,1.0,"""Heart Of Darkness""",yes,yes,yes,yes,yes,0.0,False
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",La boheme,yes,yes,yes,yes,yes,1.0,- La Bohème,yes,yes,yes,yes,yes,1.0,Indo-European,no,no,no,no,no,1.0,False
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Neosporin,yes,yes,yes,yes,yes,1.0,Sure! The answer to the Jeopardy question is:,yes,yes,yes,yes,yes,1.0,Daniel Boone,yes,yes,yes,yes,yes,0.0,False
Native American drum that headed the Department of Homeland Security,Tom Tom Ridge,no,no,no,no,no,0.0,- 100,no,no,no,no,no,0.0,Superboy,no,no,no,no,no,1.0,False
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,"""North And South""",yes,yes,yes,yes,yes,1.0,$800 $Answer: LOUISIANA,yes,yes,yes,yes,yes,1.0,fear itself,yes,yes,yes,yes,yes,0.0,False
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",Ruble,yes,yes,yes,yes,yes,1.0,RUBLE,yes,yes,yes,yes,yes,1.0,1848,yes,yes,yes,yes,yes,0.0,True
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",stratus,yes,yes,yes,yes,yes,1.0,Stratus,yes,yes,yes,yes,yes,1.0,gizzard,yes,yes,yes,yes,yes,0.0,True
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,The Little Mermaid,no,no,no,no,no,0.0,Answer: 7,no,no,no,no,no,0.0,the Village Vanguard,no,no,no,no,no,1.0,False
"Mexican flat bread, or Steinbeck ""flat""",Tortilla,yes,yes,yes,yes,yes,1.0,- 600. TORTilla,no,no,no,no,no,0.0,a book,no,no,no,no,no,1.0,False
"In the Treaty of The Hague, this country's Philip V ended his unequal war with the Quadruple Alliance",Spain,yes,yes,yes,yes,yes,1.0,Spain,yes,yes,yes,yes,yes,1.0,Jenny,no,no,no,no,no,1.0,True
"In 1998 a man with ""Soy Bomb"" marked on his chest interrupted Bob's performance at this awards show",Grammy Awards,yes,yes,yes,yes,yes,1.0,$200,yes,yes,yes,yes,yes,1.0,macadam,yes,yes,yes,yes,yes,0.0,False
"Restaurant critic Gil Chesterton & sportscaster Bob ""Bulldog"" Briscoe have also worked at KACL on this sitcom",Frasier,yes,yes,yes,yes,yes,1.0,Sure thing! Here is the answer to the Jeopardy question:,yes,yes,yes,yes,yes,1.0,90 degrees south,yes,yes,yes,yes,yes,0.0,False
"Big problems in the Little League: ""Bad _____ Bears""",News,yes,yes,yes,yes,yes,1.0,Answer: BEARS,yes,yes,yes,yes,yes,1.0,S-T-A-P-H-Y-L-O-C-O-C-C-I,yes,yes,yes,yes,yes,0.0,False
It's the only Canadian province that is separated from the North American mainland,Prince Edward Island,yes,yes,yes,yes,yes,1.0,Answer: 9,yes,yes,yes,yes,yes,1.0,(Dolly) Parton,no,no,no,no,no,1.0,False
The large rounded part of the brain that occupies most of the cranial cavity,Cerebrum,yes,yes,yes,yes,yes,1.0,CEREBRUM,yes,yes,yes,yes,yes,1.0,Couplet,yes,yes,yes,yes,yes,0.0,True
Elkhart in this state is the world capital of band instruments & RV manufacturing,Indiana,yes,yes,yes,yes,yes,1.0,- 4,no,no,no,no,no,0.0,Judgment at Nuremberg,no,no,no,no,no,1.0,False
